company_name,company_url,company_website_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
Ovunque Technologies,https://e27.co/startups/ovunque-technologies/,http://www.ovunque.in/,India,Hardware,,,,https://www.linkedin.com/company/ovunque-technologies,,,Ovunque is a technology driven product based company with expertise in Computer visio,"Ovunque is a technology driven product based company with expertise in Computer vision, Embedded systems & server side world.

Founded in 2015, Ovunque Technologies is a technology driven product based company with expertise in Image Processing, Embedded System and Software World. With their first product “Parkwheels” they are revolutionizing parking industry in India.

Parkwheels relates to automated systems for determining optimal parking locations in a parking area with the help of proprietary hardware and software. It not only aims to minimize the check in and checkout time a driver spends in a parking premise but also helps to identify the most appropriate parking area for a specified destination. The idea here is to provide a 360 degree complete solution to the parking premise as well as to the customers coming to park their vehicles."
Dolphin Web Solution,https://e27.co/startups/dolphin-web-solution/,https://www.dolphinwebsolution.com/,India,,,,54,http://www.twitter.com/dolphinwebsolhttps://www.facebook.com/dolphinwebsol/https://www.linkedin.com/company/dolphin-web-solution,,,Our passion is to help you achieve your goals and succeed in your online,"Our passion is to help you achieve your goals and succeed in your online business.

Dolphin Web Solution is one of the professional web design company in India with a team of well qualified creative designers and developers of experience in design and development. We are leaders in key website design services such as Custom Website Design, Ecommerce Website Design to xhtml Conversion.

At Dolphin Web Solution Pvt. Ltd. a standardized methodology help us to provide very cost-effective and efficient business solution.

Services we offer
1. eCommerce Development
2. WebApps Development
3. Mobile Apps Development
4. Full Stack Development
5. Digital Marketing
6. Web Designing
7. Cloud Services
8. Chatbot Development"
Ambit PCD Pharma,https://e27.co/startups/ambit-pcd-pharma/,http://www.ambitpcdpharma.in/,India,"Healthtech, Logistics/Supply Chain, Information & Communications Technology",,,,http://www.twitter.com/ambitpcdpharmahttps://www.facebook.com/ambitpcdpharma,,,Being an ISO 9001:2008 certified Pharma Company Ambit Bio-,"Being an ISO 9001:2008 certified Pharma Company Ambit Bio-Medix has successfully created a reputable place in the arena of medicine business. They help their clients find the best options in their region regarding the different pharma companies.

If you are looking for PCD Pharma companies in India then Ambit PCD Pharma is a one of the Top PCD Pharma Companies in Gujarat located in India. They offer Pharma franchise with extra ordinary marketing support. You won’t be disappointed with their quality products as well as PCD Pharma franchise services by professionals in India."
MeraCoaching,https://e27.co/startups/meracoaching/,https://www.meracoaching.com/,India,Education,2017-12-01,,2,http://www.twitter.com/mera_coachinghttps://www.facebook.com/meracoachinghttps://www.linkedin.com/company/meracoaching,,,MeraCoaching is a platform to conne,MeraCoaching is a platform to connect students to the best coaching institute nearby. The lack of information about the coaching institute and mechanism to compare their offerings create a problem of choice for students. MeraCoaching is an effort to create a transparent platform where coaching and students can interact with each other and choose the best.
Tigernix,https://e27.co/startups/tigernix/,http://www.tigernix.com/,Singapore,Agency & Consulting,,,,https://www.facebook.com/tigernix.singapore,,,Tigernix is a one of the leading ,"Tigernix is a one of the leading Singapore software companies and software development provider that offers state-of-the-art software across all technology platforms, operating systems, and infrastructures to clients worldwide. Based in Singapore, Tigernix has its presence in China, Hong Kong, India, Malaysia, Taiwan, and Thailand."
Krakakoa,https://e27.co/startups/krakakoa/,https://www.krakakoa.com/,,Food & Beverage,,,,,,,Krakakoa is an award-winning chocolate company th,"Krakakoa is an award-winning chocolate company that empowers smallholder farmers and fights for environmental conservation.

Established in 2013, Krakakoa produces a variety of products ranging from premium single-origin and flavoured bars to more affordable chocolate barks and snacks. Products are sold through its flagship Bali store and at 160-plus other points of sale in Indonesia, as well as through distributors in Singapore, the Netherlands, Germany, Belgium and the Czech Republic."
FIT Digital,https://e27.co/startups/fit-digital/,http://www.fitdigital.co.uk/,United Kingdom,"Design , Advertising, Software as a Service",2011-12-01,,14,http://www.twitter.com/fitdigitalhttps://www.facebook.com/FITDigitalLTDhttps://www.linkedin.com/company/491087?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1438065610109%2Ctas%3AFIT%20Digital,,,FIT is a Lon­don based Japanese/English cre,"FIT is a Lon­don based Japanese/English cre­at­ive digital mar­ket­ing agency, spe­cial­ising in Web Design & Build, Digital Pro­duc­tion, Social Media Mar­ket­ing and Advert­ising.

Working cross border and disciple the company designs & makes Apps, Experiences, DOOH, banners, websites, Facebook campaigns and other interactive pieces.

Their philosophy is to create work that’s aes­thet­ic­ally pleas­ing, usable and effective."
TaniGroup,https://e27.co/startups/tanihub/,http://www.tanihub.com/#,Indonesia,"Consumer, Enterprise Solution, Information & Communications Technology, Mobile, Software as a Service",,,,http://www.twitter.com/tanihubid,,,TaniHub is an application that conne,"TaniHub is an application that connects farmers to consumers. It can make farmers' life easier.

There's no distributors, no supermarket chain, only you and your subscription farmers.

They give priority to the farmers closest to your location. So everything is local.

They provide information about agricultural products as fresh as possible, directly from farmers."
Outsourcify,https://e27.co/startups/outsourcify/,https://outsourcify.net/,Thailand,"Agency & Consulting, Design , E-commerce, Information & Communications Technology, Mobile, Productivity & CRM, Software as a Service",2013-03-01,,11,http://www.twitter.com/outsourcifyhttps://facebook.com/outsourcifyhttps://www.linkedin.com/company/outsourcify-co.-ltd.,,,Outsourcify is a Thailand-based web design and development ag,"Outsourcify is a Thailand-based web design and development agency that creates websites, apps and mobile apps for clients around the world. We are a BOI (Thai Board of Investment) approved company created by Thai and French partners, with currently have a team of more than 30 web designers and developers working in-house in our Bangkok office.
We have a large portfolio of international and local customers. We sometimes work as a contractor for design agencies that outsource their web development to our team, we also work more and more on projects for direct customers as well as in-house start-up projects."
Affordplan,https://e27.co/startups/affordplan/,http://www.affordplan.com/,India,"Finance, Healthtech",,,120,http://www.twitter.com/MyAffordplanhttps://www.facebook.com/myaffordplanhttps://www.linkedin.com/company/affordplan,,,Now save for your medical expenses with your preferred hospital through Affor,"Now save for your medical expenses with your preferred hospital through Affordplan.

Born from a need for a healthier financial alternative for those who can’t pay immediately for the treatment they need, Affordplan is the only one of its kind program which gives you the power of creating your own savings plan, upon whose maturity you’re given instant access to the treatment you need.

It’s that simple!

Premier care for the citizens while assisting health institutions in widening their service across the city, making them that much more amicable and accessible for the people is what Affordplan aims to achieve.

Ranging from medicine and frequent checkups to utilising medical equipment and supplies, the Affordplan that you curate will be a servant of all. Rest assured."
